group1,group2,meandiff,p-adj,lower,upper,reject,Variable,sig
10s,30s,-0.5972,0.0012,-1.0285,-0.1658,True,hexaco_O,**
10s,40s,-0.8418,0.0,-1.306,-0.3776,True,hexaco_O,***
20s,30s,-0.3927,0.0019,-0.6851,-0.1003,True,hexaco_O,**
20s,40s,-0.6373,0.0,-0.9763,-0.2983,True,hexaco_O,***
10s,20s,0.357,0.0249,0.0276,0.6864,True,hexaco_HH,*
10s,30s,0.5008,0.0002,0.1793,0.8223,True,hexaco_HH,***
10s,40s,0.5786,0.0,0.2325,0.9246,True,hexaco_HH,***
10s,50s,0.7227,0.0001,0.2736,1.1719,True,hexaco_HH,***
20s,40s,-0.4086,0.0008,-0.6962,-0.121,True,Machiavellianism,***
10s,40s,-0.2005,0.0347,-0.3924,-0.0086,True,power_harassment,*
