e,P_direct
0.0,0.17231638418079095
0.05,0.17576271186440678
0.1,0.17920903954802261
0.15000000000000002,0.1826553672316384
0.2,0.18610169491525425
0.25,0.18954802259887008
0.30000000000000004,0.1929943502824859
0.35000000000000003,0.1964406779661017
0.4,0.19988700564971754
0.45,0.2033333333333333
0.5,0.20677966101694914
0.55,0.210225988700565
0.6000000000000001,0.21367231638418077
0.65,0.2171186440677966
0.7000000000000001,0.22056497175141243
0.75,0.22401129943502826
0.8,0.2274576271186441
0.8500000000000001,0.2309039548022599
0.9,0.23435028248587572
0.9500000000000001,0.23779661016949155
1.0,0.24124293785310733
