link,scenario,P_point,P_lo95,P_hi95
identity,baseline,0.17231638418079095,0.1327683615819209,0.21468926553672316
identity,C(0.20),0.1378531073446328,0.10621468926553673,0.16949152542372883
identity,D(0.5),0.20147019520281473,0.15812107987415,0.2502049967860888
identity,E(0.5),0.1936958455969417,0.14974082682093443,0.24090714164890556
identity,C+D(0.5),0.16117615616225178,0.12428528705301264,0.19856859839642735
identity,C+E(0.5),0.15495667647755337,0.12127746134848948,0.19254926080043305
identity,C+D+E (0.5),0.18127418569174447,0.14022584160808602,0.22247111477044898
identity,"D+E (no inst, 0.5)",0.22659273211468062,0.17770990243546197,0.27937757634563404
identity,"D+E (no inst, 1.0)",0.28835523104000055,0.2229675299566299,0.35522367671968563
identity,C+D+E (1.0),0.23068418483200048,0.1799346908599527,0.28699954219789386
log_linear,baseline,0.17231638418079095,0.1327683615819209,0.211864406779661
log_linear,C(0.20),0.1378531073446328,0.10847457627118645,0.16949152542372886
log_linear,D(0.5),0.20418239015787026,0.1547865351347736,0.25182631225217805
log_linear,E(0.5),0.19513065940783722,0.151147923108933,0.2427876116137169
log_linear,C+D(0.5),0.1633459121262962,0.12825034311073905,0.2009573689102134
log_linear,C+E(0.5),0.1561045275262698,0.12300551031513779,0.191537255443173
log_linear,C+D+E (0.5),0.18510452096535748,0.14407930143327907,0.22554834285202693
log_linear,"D+E (no inst, 0.5)",0.23138065120669682,0.18258649989941766,0.2833061345459443
log_linear,"D+E (no inst, 1.0)",0.3115768276410345,0.2413548017072412,0.37906268637231416
log_linear,C+D+E (1.0),0.24926146211282763,0.19291077520002692,0.30565497093083194
logit,baseline,0.172316418079096,0.13276849971751414,0.21186445204802262
logit,C(0.20),0.13785314124293785,0.10621473721751414,0.1694915877118644
logit,D(0.5),0.19599779433722642,0.15333600270740674,0.24053117157914483
logit,E(0.5),0.1894638119614468,0.14680152352845174,0.233463108025913
logit,C+D(0.5),0.15805654122115667,0.1243790118565847,0.1932754614474305
logit,C+E(0.5),0.15245203735300483,0.11810015905390936,0.18597116459025967
logit,C+D+E (0.5),0.17429507127584437,0.1372854907275549,0.20926647342555788
logit,"D+E (no inst, 0.5)",0.21478099441928636,0.16702219348507405,0.26059432188104326
logit,"D+E (no inst, 1.0)",0.26375559770238316,0.20684533058960525,0.31457550471500634
logit,C+D+E (1.0),0.21751606815243313,0.17147587712804047,0.25713451184583147
