variation,P,delta,abs_delta
link=log_linear,0.18510452096535748,0.0038303352736130114,0.0038303352736130114
CMV discount 0.85,0.17732655930961586,-0.003947626382128616,0.003947626382128616
γ_E high (.27),0.1858419196757201,0.0045677339839756415,0.0045677339839756415
γ_c uniform (no amp),0.17596949152542374,-0.005304694166320734,0.005304694166320734
γ_E low (.15),0.17487935811417865,-0.00639482757756582,0.00639482757756582
link=logit,0.17429507127584437,-0.006979114415900101,0.006979114415900101
"γ_c spread (0.5, 2.0)",0.18874365706828505,0.007469471376540582,0.007469471376540582
CMV discount 0.70,0.17337893292748718,-0.007895252764257288,0.007895252764257288
γ_D low (.19),0.17162443231320776,-0.009649753378536713,0.009649753378536713
γ_D high (.43),0.19267843968456067,0.011404253992816193,0.011404253992816193
effect_C 0.30,0.15861491248027643,-0.022659273211468045,0.022659273211468045
effect_C 0.10,0.20393345890321257,0.0226592732114681,0.0226592732114681
