scenario,effect_C,T,uptake,s,a,P_point,P_lo95,P_hi95
baseline,0.0,0.0,0.0,0.0,0.0,0.17231638418079095,0.1327683615819209,0.21468926553672316
C only,0.2,0.0,0.0,0.0,0.0,0.1378531073446328,0.10621468926553673,0.16949152542372883
T only (uptake=0.20),0.0,0.25,0.2,0.0,0.0,0.1637005649717514,0.12881355932203387,0.203954802259887
C + T,0.2,0.25,0.2,0.0,0.0,0.13096045197740114,0.1009039548022599,0.1631638418079096
C + T + scarcity 0.5,0.2,0.25,0.2,0.5,0.0,0.1506045197740113,0.11603954802259886,0.18516949152542372
C + T + ability deficit 0.5,0.2,0.25,0.2,0.0,0.5,0.14536610169491526,0.1143864406779661,0.18111186440677968
C + T + s=a=0.5,0.2,0.25,0.2,0.5,0.5,0.16717101694915254,0.12880389830508476,0.20553813559322034
C + T(uptake=0.40),0.2,0.25,0.4,0.0,0.0,0.1240677966101695,0.0976271186440678,0.15254237288135594
C + T(uptake=0.40) + s=a=0.5,0.2,0.25,0.4,0.5,0.5,0.1583725423728814,0.12202474576271188,0.19472033898305088
C + low ability (a=1.0) + high T uptake,0.2,0.25,0.4,0.0,1.0,0.15136271186440678,0.11662372881355934,0.18858305084745763
C + high ability (a=0.0) + zero T,0.2,0.0,0.0,0.0,0.0,0.1378531073446328,0.10621468926553673,0.16949152542372883
"all bad: s=a=1.0, T=0",0.2,0.0,0.0,1.0,1.0,0.2186350282485876,0.1720406779661017,0.26881355932203393
