university,country,faculty,qs_rank,hensachi,hensachi_source
The University of Sydney,Australia,,25.0,72.6,qs_converted
The University of Manchester,UK,,35.0,70.3,qs_converted
The University of Manchester,UK,,35.0,70.3,qs_converted
Central European University,Austria,,45.0,68.5,qs_converted
University of Bristol,UK,,51.0,67.7,qs_converted
The University of Auckland,NZ,,65.0,66.0,qs_converted
University of Birmingham,UK,,76.0,64.9,qs_converted
The University of Western Australia,Australia,,77.0,64.8,qs_converted
The University of Western Australia,Australia,,77.0,64.8,qs_converted
University of Glasgow,UK,,79.0,64.6,qs_converted
University of Leeds,UK,,86.0,64.0,qs_converted
University of Sheffield,UK,,92.0,63.6,qs_converted
University of Nottingham,UK,,97.0,63.2,qs_converted
上智大学,Japan,法学部,,62.5,kawaijuku
上智大学,Japan,法学部,,62.5,kawaijuku
上智大学,Japan,法学部,,62.5,kawaijuku
立教大学,Japan,法学部,,62.5,kawaijuku
Queen Mary University of London,UK,,110.0,62.3,qs_converted
Newcastle University,UK,,137.0,60.8,qs_converted
上智大学,Japan,総合人間科学部,,60.0,kawaijuku
法政大学,Japan,国際文化学部,,60.0,kawaijuku
Lancaster University,UK,,157.0,59.9,qs_converted
The University of York,UK,,169.0,59.4,qs_converted
Cardiff University,UK,,181.0,58.9,qs_converted
Deakin University,Australia,,207.0,57.9,qs_converted
東京農工大学,Japan,農学部,,57.5,kawaijuku
関西学院大学,Japan,総合政策学部,,57.5,kawaijuku
立命館大学,Japan,経済学部,,57.5,kawaijuku
Griffith University,Australia,,268.0,56.1,qs_converted
UCSI University,Malaysia,,269.0,56.1,qs_converted
Earlham College,USA,,294.0,55.5,qs_converted
Simon Fraser University,Canada,,308.0,55.2,qs_converted
秋田大学,Japan,医学部 保健学科,,55.0,kawaijuku
法政大学,Japan,現代福祉学部,,55.0,kawaijuku
関西大学,Japan,社会安全学部,,55.0,kawaijuku
自治医科大学,Japan,看護学部,,55.0,kawaijuku
近畿大学,Japan,,,55.0,kawaijuku
Sunway University,Malaysia,,410.0,53.2,qs_converted
宇都宮大学,Japan,国際学部,,52.5,kawaijuku
宇都宮大学,Japan,国際学部,,52.5,kawaijuku
日本大学,Japan,,,52.5,kawaijuku
日本大学,Japan,,,52.5,kawaijuku
国際医療福祉大学,Japan,,,52.5,kawaijuku
University of Canberra,Australia,,494.0,51.9,qs_converted
Oregon State University,USA,,624.0,50.3,qs_converted
獨協大学,Japan,,,50.0,kawaijuku
獨協大学,Japan,,,50.0,kawaijuku
東京女子大学,Japan,,,50.0,kawaijuku
東京女子大学,Japan,,,50.0,kawaijuku
聖心女子大学,Japan,,,50.0,kawaijuku
聖心女子大学,Japan,,,50.0,kawaijuku
京都産業大学,Japan,,,50.0,kawaijuku
神奈川大学,Japan,,,50.0,kawaijuku
同志社女子大学,Japan,,,50.0,kawaijuku
Temple University,USA,,725.0,49.2,qs_converted
山口県立大学,Japan,社会福祉学部,,47.5,kawaijuku
獨協医科大学,Japan,看護学部,,47.5,kawaijuku
昭和女子大学,Japan,,,47.5,kawaijuku
昭和女子大学,Japan,,,47.5,kawaijuku
昭和女子大学,Japan,,,47.5,kawaijuku
昭和女子大学,Japan,,,47.5,kawaijuku
実践女子大学,Japan,,,47.5,kawaijuku
実践女子大学,Japan,,,47.5,kawaijuku
日本赤十字東北看護大学,Japan,,,47.5,kawaijuku
武庫川女子大学,Japan,,,47.5,kawaijuku
大妻女子大学,Japan,,,47.5,kawaijuku
フェリス女学院大学,Japan,,,47.5,kawaijuku
フェリス女学院大学,Japan,,,47.5,kawaijuku
フェリス女学院大学,Japan,,,47.5,kawaijuku
東京家政大学,Japan,,,47.5,kawaijuku
神戸女学院大学,Japan,,,47.5,kawaijuku
神戸女学院大学,Japan,,,47.5,kawaijuku
白百合女子大学,Japan,,,47.5,kawaijuku
日本歯科大学,Japan,,,45.0,kawaijuku
千葉工業大学,Japan,,,45.0,kawaijuku
日本体育大学,Japan,,,45.0,kawaijuku
東北学院大学,Japan,,,45.0,kawaijuku
桜美林大学,Japan,,,45.0,kawaijuku
洗足学園音楽大学,Japan,,,45.0,kawaijuku
Illinois State University,USA,,,45.0,default_unranked
Franklin & Marshall College,USA,,,45.0,default_unranked
HELP University,Malaysia,,,45.0,default_unranked
諏訪東京理科大学,Japan,,,42.5,kawaijuku
大東文化大学,Japan,,,42.5,kawaijuku
東京国際大学,Japan,,,42.5,kawaijuku
東洋英和女学院大学,Japan,,,42.5,kawaijuku
帝京平成大学,Japan,,,42.5,kawaijuku
大正大学,Japan,,,42.5,kawaijuku
山梨学院大学,Japan,,,40.0,kawaijuku
日本医療科学大学,Japan,,,40.0,kawaijuku
日本工業大学,Japan,,,40.0,kawaijuku
白鷗大学,Japan,,,40.0,kawaijuku
白鷗大学,Japan,,,40.0,kawaijuku
白鷗大学,Japan,,,40.0,kawaijuku
足利大学,Japan,,,37.5,kawaijuku
BBT大学,Japan,,,35.0,kawaijuku
