gender,type_a,type_b,n_a,n_b,mde_d_two_sample
G0,0,1,10,10,1.2529069984918344
G0,0,2,10,15,1.1437423758834482
G0,0,3,10,28,1.0320877418148708
G0,0,4,10,13,1.1784090771036275
G0,0,5,10,14,1.159966482349438
G0,0,6,10,44,0.9814640104257641
G0,1,2,10,15,1.1437423758834482
G0,1,3,10,28,1.0320877418148708
G0,1,4,10,13,1.1784090771036275
G0,1,5,10,14,1.159966482349438
G0,1,6,10,44,0.9814640104257641
G0,2,3,15,28,0.8964238854059033
G0,2,4,15,13,1.061611335904963
G0,2,5,15,14,1.0411017797006337
G0,2,6,15,44,0.8376409011519922
G0,3,4,28,13,0.9402537492267312
G0,3,5,28,14,0.9170340234194316
G0,3,6,28,44,0.6772745113288451
G0,4,5,13,14,1.0790710107794275
G0,4,6,13,44,0.884388834106034
G0,5,6,14,44,0.8596615014442232
G1,0,1,13,32,0.9214322933692543
G1,0,2,13,34,0.9135695832922407
G1,0,3,13,21,0.9886941677745761
G1,0,4,13,38,0.9001718981720722
G1,0,5,13,12,1.12153167176013
G1,0,6,13,70,0.8461009590546265
G1,1,2,32,34,0.6900194893261007
G1,1,3,32,21,0.7867869276523067
G1,1,4,32,38,0.6721807483049526
G1,1,5,32,12,0.948341079408757
G1,1,6,32,70,0.5978330411128621
G1,2,3,34,21,0.7775638763327364
G1,2,4,34,38,0.661361376741068
G1,2,5,34,12,0.9407033087787037
G1,2,6,34,70,0.5856417482550983
G1,3,4,21,38,0.7617779496149414
G1,3,5,21,12,1.013819258557414
G1,3,6,21,70,0.6970531049884156
G1,4,5,38,12,0.9276975681164387
G1,4,6,38,70,0.5645142336923323
G1,5,6,12,70,0.8753286037503868
